# Langmuir probe raw measurement — 2026-06-01 15:10:26
# Points: 1000
voltage_V,current_A,current_mA
-9.99996,-9.82900000e-06,-0.009829
-9.97992,-9.84090000e-06,-0.0098409
-9.96,-9.85260000e-06,-0.0098526
-9.93988,-9.80610000e-06,-0.0098061
-9.91991,-9.75250000e-06,-0.0097525
-9.89984,-9.74210000e-06,-0.0097421
-9.8799,-9.75700000e-06,-0.009757
-9.85991,-9.74720000e-06,-0.0097472
-9.83979,-9.68140000e-06,-0.0096814
-9.81979,-9.65250000e-06,-0.0096525
-9.79985,-9.65770000e-06,-0.0096577
-9.77979,-9.67850000e-06,-0.0096785
-9.75981,-9.63170000e-06,-0.0096317
-9.73966,-9.57960000e-06,-0.0095796
-9.71975,-9.55880000e-06,-0.0095588
-9.69971,-9.58670000e-06,-0.0095867
-9.67972,-9.57210000e-06,-0.0095721
-9.65965,-9.51570000e-06,-0.0095157
-9.63963,-9.46780000e-06,-0.0094678
-9.6196,-9.48060000e-06,-0.0094806
-9.59963,-9.49870000e-06,-0.0094987
-9.57959,-9.45080000e-06,-0.0094508
-9.5596,-9.39710000e-06,-0.0093971
-9.53954,-9.38020000e-06,-0.0093802
-9.5195,-9.40550000e-06,-0.0094055
-9.49952,-9.39010000e-06,-0.0093901
-9.47948,-9.32700000e-06,-0.009327
-9.45949,-9.29290000e-06,-0.0092929
-9.4394,-9.30600000e-06,-0.009306
-9.41939,-9.31950000e-06,-0.0093195
-9.39941,-9.27620000e-06,-0.0092762
-9.37941,-9.22340000e-06,-0.0092234
-9.35941,-9.20550000e-06,-0.0092055
-9.33925,-9.22900000e-06,-0.009229
-9.31931,-9.21540000e-06,-0.0092154
-9.29929,-9.16120000e-06,-0.0091612
-9.27928,-9.11290000e-06,-0.0091129
-9.25932,-9.12570000e-06,-0.0091257
-9.23917,-9.14390000e-06,-0.0091439
-9.2192,-9.10250000e-06,-0.0091025
-9.19921,-9.04540000e-06,-0.0090454
-9.1792,-9.04998000e-06,-0.00904998
-9.15921,-9.06731000e-06,-0.00906731
-9.13905,-9.02737000e-06,-0.00902737
-9.11915,-8.96718000e-06,-0.00896718
-9.0991,-8.94772000e-06,-0.00894772
-9.0791,-8.97596000e-06,-0.00897596
-9.0591,-8.96138000e-06,-0.00896138
-9.03899,-8.90797000e-06,-0.00890797
-9.019,-8.86079000e-06,-0.00886079
-8.99902,-8.86897000e-06,-0.00886897
