# Langmuir probe raw measurement — 2026-06-07 16:12:16
# Points: 1000
voltage_V,current_A,current_mA
-35.5856,-5.83299324e-03,-5.83299
-35.4855,-5.79123243e-03,-5.79123
-35.3854,-5.80890394e-03,-5.8089
-35.2853,-5.75977089e-03,-5.75977
-35.1852,-5.63709130e-03,-5.63709
-35.0851,-5.72598198e-03,-5.72598
-34.985,-5.75554781e-03,-5.75555
-34.8849,-5.84124718e-03,-5.84125
-34.7848,-5.90314756e-03,-5.90315
-34.6847,-5.78230749e-03,-5.78231
-34.5846,-5.73705238e-03,-5.73705
-34.4845,-5.55287854e-03,-5.55288
-34.3844,-5.71464146e-03,-5.71464
-34.2843,-5.62739232e-03,-5.62739
-34.1842,-5.77359317e-03,-5.77359
-34.0841,-5.84015530e-03,-5.84016
-33.984,-5.81616990e-03,-5.81617
-33.8839,-5.79017810e-03,-5.79018
-33.7838,-5.50280576e-03,-5.50281
-33.6837,-5.79578862e-03,-5.79579
-33.5836,-5.62779823e-03,-5.6278
-33.4835,-5.79993703e-03,-5.79994
-33.3834,-5.61448415e-03,-5.61448
-33.2833,-5.66714346e-03,-5.66714
-33.1832,-5.71929943e-03,-5.7193
-33.0831,-5.70570894e-03,-5.70571
-32.983,-5.76510847e-03,-5.76511
-32.8829,-5.65301946e-03,-5.65302
-32.7828,-5.74112198e-03,-5.74112
-32.6827,-5.81618112e-03,-5.81618
-32.5826,-5.81941117e-03,-5.81941
-32.4825,-5.67235546e-03,-5.67236
-32.3824,-5.52970192e-03,-5.5297
-32.2823,-5.66960864e-03,-5.66961
-32.1822,-5.69546835e-03,-5.69547
-32.0821,-5.65301857e-03,-5.65302
-31.982,-5.54899764e-03,-5.549
-31.8819,-5.65565614e-03,-5.65566
-31.7818,-5.71668365e-03,-5.71668
-31.6817,-5.56295853e-03,-5.56296
-31.5816,-5.62870819e-03,-5.62871
-31.4815,-5.51600461e-03,-5.516
-31.3814,-5.64925309e-03,-5.64925
-31.2813,-5.78801970e-03,-5.78802
-31.1812,-5.80038492e-03,-5.80038
-31.0811,-5.49647235e-03,-5.49647
-30.981,-5.48719465e-03,-5.48719
